"","Gene"
"1","DE1"
"2","DE2"
"3","DE3"
"4","DE4"
"5","DE5"
"6","DE6"
"7","DE7"
"8","DE8"
"9","DE9"
"10","DE10"
"11","DE11"
"12","DE12"
"13","DE13"
"14","DE14"
"15","DE15"
"16","DE16"
"17","DE17"
"18","DE18"
"19","DE19"
"20","DE20"
"21","DE21"
"22","DE22"
"23","DE23"
"24","DE24"
"25","DE25"
"26","DE26"
"27","DE27"
"28","DE28"
"29","DE29"
"30","DE30"
"31","DE31"
"32","DE32"
"33","DE33"
"34","DE34"
"35","DE35"
"36","DE36"
"37","DE37"
"38","DE38"
"39","DE39"
"40","DE40"
"41","DE41"
"42","DE42"
"43","DE43"
"44","DE44"
"45","DE45"
"46","DE46"
"47","DE47"
"48","DE48"
"49","DE49"
"50","DE50"
"51","DE51"
"52","DE52"
"53","DE53"
"54","DE54"
"55","DE55"
"56","DE56"
"57","DE57"
"58","DE58"
"59","DE59"
"60","DE60"
"61","DE61"
"62","DE62"
"63","DE63"
"64","DE64"
"65","DE65"
"66","DE66"
"67","DE67"
"68","DE68"
"69","DE69"
"70","DE70"
"71","DE71"
"72","DE72"
"73","DE73"
"74","DE74"
"75","DE75"
"76","DE76"
"77","DE77"
"78","DE78"
"79","DE79"
"80","DE80"
"81","DE81"
"82","DE82"
"83","DE83"
"84","DE84"
"85","DE85"
"86","DE86"
"87","DE87"
"88","DE88"
"89","DE89"
"90","DE90"
"91","DE91"
"92","DE92"
"93","DE93"
"94","DE94"
"95","DE95"
"96","DE96"
"97","DE97"
"98","DE98"
"99","DE99"
"100","DE100"
"101","DE101"
"102","DE102"
"103","DE103"
"104","DE104"
"105","DE105"
"106","DE106"
"107","DE107"
"108","DE108"
"109","DE109"
"110","DE110"
"111","DE111"
"112","DE112"
"113","DE113"
"114","DE114"
"115","DE115"
"116","DE116"
"117","DE117"
"118","DE118"
"119","DE119"
"120","DE120"
"121","DE121"
"122","DE122"
"123","DE123"
"124","DE124"
"125","DE125"
"126","DE126"
"127","DE127"
"128","DE128"
"129","DE129"
"130","DE130"
"131","DE131"
"132","DE132"
"133","DE133"
"134","DE134"
"135","DE135"
"136","DE136"
"137","DE137"
"138","DE138"
"139","DE139"
"140","DE140"
"141","DE141"
"142","DE142"
"143","DE143"
"144","DE144"
"145","DE145"
"146","DE146"
"147","DE147"
"148","DE148"
"149","DE149"
"150","DE150"
"151","DE151"
"152","DE152"
"153","DE153"
"154","DE154"
"155","DE155"
"156","DE156"
"157","DE157"
"158","DE158"
"159","DE159"
"160","DE160"
"161","DE161"
"162","DE162"
"163","DE163"
"164","DE164"
"165","DE165"
"166","DE166"
"167","DE167"
"168","DE168"
"169","DE169"
"170","DE170"
"171","DE171"
"172","DE172"
"173","DE173"
"174","DE174"
"175","DE175"
"176","DE176"
"177","DE177"
"178","DE178"
"179","DE179"
"180","DE180"
"181","DE181"
"182","DE182"
"183","DE183"
"184","DE184"
"185","DE185"
"186","DE186"
"187","DE187"
"188","DE188"
"189","DE189"
"190","DE190"
"191","DE191"
"192","DE192"
"193","DE193"
"194","DE194"
"195","DE195"
"196","DE196"
"197","DE197"
"198","DE198"
"199","DE199"
"200","DE200"
