"","Gene"
"1","DM1"
"2","DM2"
"3","DM3"
"4","DM4"
"5","DM5"
"6","DM6"
"7","DM7"
"8","DM8"
"9","DM9"
"10","DM10"
"11","DM11"
"12","DM12"
"13","DM13"
"14","DM14"
"15","DM15"
"16","DM16"
"17","DM17"
"18","DM18"
"19","DM19"
"20","DM20"
"21","DM21"
"22","DM22"
"23","DM23"
"24","DM24"
"25","DM25"
"26","DM26"
"27","DM27"
"28","DM28"
"29","DM29"
"30","DM30"
"31","DM31"
"32","DM32"
"33","DM33"
"34","DM34"
"35","DM35"
"36","DM36"
"37","DM37"
"38","DM38"
"39","DM39"
"40","DM40"
"41","DM41"
"42","DM42"
"43","DM43"
"44","DM44"
"45","DM45"
"46","DM46"
"47","DM47"
"48","DM48"
"49","DM49"
"50","DM50"
"51","DM51"
"52","DM52"
"53","DM53"
"54","DM54"
"55","DM55"
"56","DM56"
"57","DM57"
"58","DM58"
"59","DM59"
"60","DM60"
"61","DM61"
"62","DM62"
"63","DM63"
"64","DM64"
"65","DM65"
"66","DM66"
"67","DM67"
"68","DM68"
"69","DM69"
"70","DM70"
"71","DM71"
"72","DM72"
"73","DM73"
"74","DM74"
"75","DM75"
"76","DM76"
"77","DM77"
"78","DM78"
"79","DM79"
"80","DM80"
"81","DM81"
"82","DM82"
"83","DM83"
"84","DM84"
"85","DM85"
"86","DM86"
"87","DM87"
"88","DM88"
"89","DM89"
"90","DM90"
"91","DM91"
"92","DM92"
"93","DM93"
"94","DM94"
"95","DM95"
"96","DM96"
"97","DM97"
"98","DM98"
"99","DM99"
"100","DM100"
"101","DM101"
"102","DM102"
"103","DM103"
"104","DM104"
"105","DM105"
"106","DM106"
"107","DM107"
"108","DM108"
"109","DM109"
"110","DM110"
"111","DM111"
"112","DM112"
"113","DM113"
"114","DM114"
"115","DM115"
"116","DM116"
"117","DM117"
"118","DM118"
"119","DM119"
"120","DM120"
"121","DM121"
"122","DM122"
"123","DM123"
"124","DM124"
"125","DM125"
"126","DM126"
"127","DM127"
"128","DM128"
"129","DM129"
"130","DM130"
"131","DM131"
"132","DM132"
"133","DM133"
"134","DM134"
"135","DM135"
"136","DM136"
"137","DM137"
"138","DM138"
"139","DM139"
"140","DM140"
"141","DM141"
"142","DM142"
"143","DM143"
"144","DM144"
"145","DM145"
"146","DM146"
"147","DM147"
"148","DM148"
"149","DM149"
"150","DM150"
"151","DM151"
"152","DM152"
"153","DM153"
"154","DM154"
"155","DM155"
"156","DM156"
"157","DM157"
"158","DM158"
"159","DM159"
"160","DM160"
"161","DM161"
"162","DM162"
"163","DM163"
"164","DM164"
"165","DM165"
"166","DM166"
"167","DM167"
"168","DM168"
"169","DM169"
"170","DM170"
"171","DM171"
"172","DM172"
"173","DM173"
"174","DM174"
"175","DM175"
"176","DM176"
"177","DM177"
"178","DM178"
"179","DM179"
"180","DM180"
"181","DM181"
"182","DM182"
"183","DM183"
"184","DM184"
"185","DM185"
"186","DM186"
"187","DM187"
"188","DM188"
"189","DM189"
"190","DM190"
"191","DM191"
"192","DM192"
"193","DM193"
"194","DM194"
"195","DM195"
"196","DM196"
"197","DM197"
"198","DM198"
"199","DM199"
"200","DM200"
