"","SYMBOL","B","adj.P.Val"
"1","Sox2",7.36825370750182,0.00057725701450577
"2","Dppa2",7.23519014625488,0.00057725701450577
"3","Dppa5a",6.88974754050476,0.000781977203506817
"4","Bex1",6.11499060749659,0.00210756470438042
"5","Chchd10",5.70257408932713,0.00265510764492089
"6","Thbs2",5.58542956205637,0.00265510764492089
"7","Bex4",5.49250604755319,0.00265510764492089
"8","Zfp42",5.43505769893138,0.00265510764492089
"9","Fbxo15",5.33111457205837,0.00268987164049482
"10","Sall4",5.15231803735609,0.00280191674102951
"11","Gldc",5.13443851750755,0.00280191674102951
"12","Slc7a7",4.82956123256925,0.00368401227798288
"13","Zic3",4.63823929225817,0.00390668045100715
"14","Postn",4.5960419676469,0.00390668045100715
"15","Mtm1",4.52099517305457,0.00390668045100715
"16","Nanog",4.49725751247832,0.00390668045100715
"17","Tcl1",4.47050610736156,0.00390668045100715
"18","Smarca2",4.3470015350285,0.00402952235193717
"19","Gsta4",4.3415185685366,0.00402952235193717
"20","Ogn",4.22061086630016,0.00433980843567129
"21","Tdgf1",4.14708526481536,0.00433980843567129
"22","Pou5f1",4.07952599015067,0.00433980843567129
"23","Cxcl12",4.05689953106685,0.00433980843567129
"24","Ifih1",4.05636849599307,0.00433980843567129
"25","Nodal",3.93677457742326,0.00472879136467067
"26","Rex2",3.82547237189632,0.00510975242482147
"27","Fgf4",3.61624593874764,0.00592318061382192
"28","Dnajc21",3.59531411012086,0.00592318061382192
"29","Ptx3",3.57683438648507,0.00592318061382192
"30","Phc1",3.47827619708022,0.00633111716927398
"31","Fgf7",3.41886627868282,0.00650731919513323
"32","Prrx1",3.3297729327763,0.00662713385904269
"33","Man2a1",3.31193777137856,0.00662713385904269
"34","Stmn2",3.23415725612653,0.00662713385904269
"35","Msh2",3.17955972231668,0.00662713385904269
"36","Dppa4",3.17467823986346,0.00662713385904269
"37","Zfp97",3.17459464054734,0.00662713385904269
"38","Bcat2",3.16616060090883,0.00662713385904269
"39","Gm13305",3.1464618540848,0.00662713385904269
"40","Il11ra2",3.1464618540848,0.00662713385904269
"41","Igfbp2",3.11692365737601,0.00665794670013578
"42","Nr0b1",3.0871617706071,0.00669401169676217
"43","Nedd9",3.02013866870356,0.00698609856783174
"44","C1qtnf3",2.90134501261211,0.00738126679414293
"45","Tmem176b",2.86650349194986,0.00738126679414293
"46","Capn6",2.84261207035909,0.00738126679414293
"47","Ptn",2.81220197621485,0.00738126679414293
"48","Slc2a3",2.78597300566764,0.00738126679414293
"49","Slc7a3",2.78422641392511,0.00738126679414293
"50","Trap1a",2.77662870079357,0.00738126679414293
"51","Rpl39l",2.75551479304139,0.00738126679414293
"52","Pdgfrb",2.63114760434172,0.00738126679414293
"53","Igf2bp1",2.62067551197549,0.00738126679414293
"54","Gas6",2.57963919294421,0.00738126679414293
"55","Mgat2",2.56971248214683,0.00738126679414293
"56","Dhx16",2.5665854796775,0.00738126679414293
"57","Nfib",2.51365296525139,0.00738126679414293
"58","Adm",2.51273359308654,0.00738126679414293
"59","Tmem176a",2.4789043239791,0.00738126679414293
"60","Nr3c1",2.42032533828099,0.00738126679414293
"61","Kdm3a",2.41550894672367,0.00738126679414293
"62","Ifit1",2.39751407519109,0.00738126679414293
"63","Ch25h",2.3955350928623,0.00738126679414293
"64","Terf1",2.38270240748653,0.00738126679414293
"65","Mbtd1",2.34057739947624,0.00738126679414293
"66","Klf9",2.33399410811763,0.00738126679414293
"67","Mcm10",2.31846332670432,0.00738126679414293
"68","Gas1",2.30728022247784,0.00738126679414293
"69","Il1rn",2.27597640167797,0.00738126679414293
"70","Snrnp40",2.25999738366044,0.00738126679414293
"71","Dnajb4",2.24971873536576,0.00738126679414293
"72","Tle4",2.2479790138481,0.00738126679414293
"73","Cebpd",2.24103627539226,0.00738126679414293
"74","Smpdl3a",2.21258011980337,0.00738126679414293
"75","Papss2",2.20751311363876,0.00738126679414293
"76","Socs2",2.18365548273317,0.00738126679414293
"77","Utf1",2.15127951472772,0.00738126679414293
"78","Nucb2",2.13495108534188,0.00738126679414293
"79","Fkbp7",2.12112561661374,0.00738126679414293
"80","Bckdhb",2.08835913003802,0.00738126679414293
"81","Hist1h2ab",2.06817384535854,0.00738126679414293
"82","Hist1h2ac",2.06817384535854,0.00738126679414293
"83","Hist1h2ad",2.06817384535854,0.00738126679414293
"84","Hist1h2ae",2.06817384535854,0.00738126679414293
"85","Hist1h2af",2.06817384535854,0.00738126679414293
"86","Hist1h2ag",2.06817384535854,0.00738126679414293
"87","Hist1h2ah",2.06817384535854,0.00738126679414293
"88","Hist1h2ai",2.06817384535854,0.00738126679414293
"89","Hist1h2ak",2.06817384535854,0.00738126679414293
"90","Hist1h2an",2.06817384535854,0.00738126679414293
"91","Hist1h2ao",2.06817384535854,0.00738126679414293
"92","Hist3h2a",2.06817384535854,0.00738126679414293
"93","Tfpi2",2.06332117377074,0.00738126679414293
"94","Kdelr3",2.04393959812586,0.00738126679414293
"95","Ikbip",2.04286854902886,0.00738126679414293
"96","Slfn2",2.04015889753505,0.00738126679414293
"97","Klf2",2.03507638437337,0.00738126679414293
"98","Psmg1",2.03329688487621,0.00738126679414293
"99","Lmo7",2.01676815282789,0.00738126679414293
"100","Cd302",1.99213492712877,0.00738126679414293
"101","Ifi35",1.99060251407677,0.00738126679414293
"102","Lgals3bp",1.96244783533525,0.00738126679414293
"103","Pfkp",1.95655733311633,0.00738126679414293
"104","Gab1",1.93975333421886,0.00738126679414293
"105","Ifitm3",1.92744410139833,0.00738126679414293
"106","Wnt5a",1.87604463263877,0.00738126679414293
"107","Dctpp1",1.82419724577747,0.00738126679414293
"108","Actl6a",1.82181430433622,0.00738126679414293
"109","Gpx7",1.80010671223907,0.00738126679414293
"110","Ltbp2",1.79929224200706,0.00738126679414293
"111","Pcdhga1",1.78516021905154,0.00738126679414293
"112","Pcdhga10",1.78516021905154,0.00738126679414293
"113","Pcdhga11",1.78516021905154,0.00738126679414293
"114","Pcdhga12",1.78516021905154,0.00738126679414293
"115","Pcdhga2",1.78516021905154,0.00738126679414293
"116","Pcdhga3",1.78516021905154,0.00738126679414293
"117","Pcdhga4",1.78516021905154,0.00738126679414293
"118","Pcdhga5",1.78516021905154,0.00738126679414293
"119","Pcdhga6",1.78516021905154,0.00738126679414293
"120","Pcdhga7",1.78516021905154,0.00738126679414293
"121","Pcdhga8",1.78516021905154,0.00738126679414293
"122","Pcdhga9",1.78516021905154,0.00738126679414293
"123","Pcdhgb1",1.78516021905154,0.00738126679414293
"124","Pcdhgb2",1.78516021905154,0.00738126679414293
"125","Pcdhgb4",1.78516021905154,0.00738126679414293
"126","Pcdhgb5",1.78516021905154,0.00738126679414293
"127","Pcdhgb6",1.78516021905154,0.00738126679414293
"128","Pcdhgb7",1.78516021905154,0.00738126679414293
"129","Pcdhgb8",1.78516021905154,0.00738126679414293
"130","Pcdhgc3",1.78516021905154,0.00738126679414293
"131","Pcdhgc4",1.78516021905154,0.00738126679414293
"132","Pcdhgc5",1.78516021905154,0.00738126679414293
"133","Gnl3",1.7797495290395,0.00738126679414293
"134","Itm2b",1.77221785048485,0.00738126679414293
"135","Epcam",1.7516880857868,0.00738126679414293
"136","Ltbp4",1.73872083031351,0.00738126679414293
"137","Cdc5l",1.7303456829043,0.00738126679414293
"138","Wdtc1",1.72908422423229,0.00738126679414293
"139","Slc39a6",1.72194969356235,0.00738126679414293
"140","Mgst1",1.72102444119787,0.00738126679414293
