"","Gene"
"1","DE1"
"2","DE2"
"3","DE3"
"4","DE4"
"5","DE5"
"6","DE6"
"7","DE7"
"8","DE8"
"9","DE9"
"10","DE10"
"11","DE11"
"12","DE12"
"13","DE13"
"14","DE14"
"15","DE15"
"16","DE16"
"17","DE17"
"18","DE18"
"19","DE19"
"20","DE20"
"21","DE21"
"22","DE22"
"23","DE23"
"24","DE24"
"25","DE25"
"26","DE26"
"27","DE27"
"28","DE28"
"29","DE29"
"30","DE30"
"31","DE31"
"32","DE32"
"33","DE33"
"34","DE34"
"35","DE35"
"36","DE36"
"37","DE37"
"38","DE38"
"39","DE39"
"40","DE40"
"41","DE41"
"42","DE42"
"43","DE43"
"44","DE44"
"45","DE45"
"46","DE46"
"47","DE47"
"48","DE48"
"49","DE49"
"50","DE50"
"51","DP51"
"52","DP52"
"53","DP53"
"54","DP54"
"55","DP55"
"56","DP56"
"57","DP57"
"58","DP58"
"59","DP59"
"60","DP60"
"61","DP61"
"62","DP62"
"63","DP63"
"64","DP64"
"65","DP65"
"66","DP66"
"67","DP67"
"68","DP68"
"69","DP69"
"70","DP70"
"71","DP71"
"72","DP72"
"73","DP73"
"74","DP74"
"75","DP75"
"76","DP76"
"77","DP77"
"78","DP78"
"79","DP79"
"80","DP80"
"81","DP81"
"82","DP82"
"83","DP83"
"84","DP84"
"85","DP85"
"86","DP86"
"87","DP87"
"88","DP88"
"89","DP89"
"90","DP90"
"91","DP91"
"92","DP92"
"93","DP93"
"94","DP94"
"95","DP95"
"96","DP96"
"97","DP97"
"98","DP98"
"99","DP99"
"100","DP100"
"101","DM101"
"102","DM102"
"103","DM103"
"104","DM104"
"105","DM105"
"106","DM106"
"107","DM107"
"108","DM108"
"109","DM109"
"110","DM110"
"111","DM111"
"112","DM112"
"113","DM113"
"114","DM114"
"115","DM115"
"116","DM116"
"117","DM117"
"118","DM118"
"119","DM119"
"120","DM120"
"121","DM121"
"122","DM122"
"123","DM123"
"124","DM124"
"125","DM125"
"126","DM126"
"127","DM127"
"128","DM128"
"129","DM129"
"130","DM130"
"131","DM131"
"132","DM132"
"133","DM133"
"134","DM134"
"135","DM135"
"136","DM136"
"137","DM137"
"138","DM138"
"139","DM139"
"140","DM140"
"141","DM141"
"142","DM142"
"143","DM143"
"144","DM144"
"145","DM145"
"146","DM146"
"147","DM147"
"148","DM148"
"149","DM149"
"150","DM150"
"151","DB151"
"152","DB152"
"153","DB153"
"154","DB154"
"155","DB155"
"156","DB156"
"157","DB157"
"158","DB158"
"159","DB159"
"160","DB160"
"161","DB161"
"162","DB162"
"163","DB163"
"164","DB164"
"165","DB165"
"166","DB166"
"167","DB167"
"168","DB168"
"169","DB169"
"170","DB170"
"171","DB171"
"172","DB172"
"173","DB173"
"174","DB174"
"175","DB175"
"176","DB176"
"177","DB177"
"178","DB178"
"179","DB179"
"180","DB180"
"181","DB181"
"182","DB182"
"183","DB183"
"184","DB184"
"185","DB185"
"186","DB186"
"187","DB187"
"188","DB188"
"189","DB189"
"190","DB190"
"191","DB191"
"192","DB192"
"193","DB193"
"194","DB194"
"195","DB195"
"196","DB196"
"197","DB197"
"198","DB198"
"199","DB199"
"200","DB200"
