"","Gene"
"1","DB1"
"2","DB2"
"3","DB3"
"4","DB4"
"5","DB5"
"6","DB6"
"7","DB7"
"8","DB8"
"9","DB9"
"10","DB10"
"11","DB11"
"12","DB12"
"13","DB13"
"14","DB14"
"15","DB15"
"16","DB16"
"17","DB17"
"18","DB18"
"19","DB19"
"20","DB20"
"21","DB21"
"22","DB22"
"23","DB23"
"24","DB24"
"25","DB25"
"26","DB26"
"27","DB27"
"28","DB28"
"29","DB29"
"30","DB30"
"31","DB31"
"32","DB32"
"33","DB33"
"34","DB34"
"35","DB35"
"36","DB36"
"37","DB37"
"38","DB38"
"39","DB39"
"40","DB40"
"41","DB41"
"42","DB42"
"43","DB43"
"44","DB44"
"45","DB45"
"46","DB46"
"47","DB47"
"48","DB48"
"49","DB49"
"50","DB50"
"51","DB51"
"52","DB52"
"53","DB53"
"54","DB54"
"55","DB55"
"56","DB56"
"57","DB57"
"58","DB58"
"59","DB59"
"60","DB60"
"61","DB61"
"62","DB62"
"63","DB63"
"64","DB64"
"65","DB65"
"66","DB66"
"67","DB67"
"68","DB68"
"69","DB69"
"70","DB70"
"71","DB71"
"72","DB72"
"73","DB73"
"74","DB74"
"75","DB75"
"76","DB76"
"77","DB77"
"78","DB78"
"79","DB79"
"80","DB80"
"81","DB81"
"82","DB82"
"83","DB83"
"84","DB84"
"85","DB85"
"86","DB86"
"87","DB87"
"88","DB88"
"89","DB89"
"90","DB90"
"91","DB91"
"92","DB92"
"93","DB93"
"94","DB94"
"95","DB95"
"96","DB96"
"97","DB97"
"98","DB98"
"99","DB99"
"100","DB100"
"101","DB101"
"102","DB102"
"103","DB103"
"104","DB104"
"105","DB105"
"106","DB106"
"107","DB107"
"108","DB108"
"109","DB109"
"110","DB110"
"111","DB111"
"112","DB112"
"113","DB113"
"114","DB114"
"115","DB115"
"116","DB116"
"117","DB117"
"118","DB118"
"119","DB119"
"120","DB120"
"121","DB121"
"122","DB122"
"123","DB123"
"124","DB124"
"125","DB125"
"126","DB126"
"127","DB127"
"128","DB128"
"129","DB129"
"130","DB130"
"131","DB131"
"132","DB132"
"133","DB133"
"134","DB134"
"135","DB135"
"136","DB136"
"137","DB137"
"138","DB138"
"139","DB139"
"140","DB140"
"141","DB141"
"142","DB142"
"143","DB143"
"144","DB144"
"145","DB145"
"146","DB146"
"147","DB147"
"148","DB148"
"149","DB149"
"150","DB150"
"151","DB151"
"152","DB152"
"153","DB153"
"154","DB154"
"155","DB155"
"156","DB156"
"157","DB157"
"158","DB158"
"159","DB159"
"160","DB160"
"161","DB161"
"162","DB162"
"163","DB163"
"164","DB164"
"165","DB165"
"166","DB166"
"167","DB167"
"168","DB168"
"169","DB169"
"170","DB170"
"171","DB171"
"172","DB172"
"173","DB173"
"174","DB174"
"175","DB175"
"176","DB176"
"177","DB177"
"178","DB178"
"179","DB179"
"180","DB180"
"181","DB181"
"182","DB182"
"183","DB183"
"184","DB184"
"185","DB185"
"186","DB186"
"187","DB187"
"188","DB188"
"189","DB189"
"190","DB190"
"191","DB191"
"192","DB192"
"193","DB193"
"194","DB194"
"195","DB195"
"196","DB196"
"197","DB197"
"198","DB198"
"199","DB199"
"200","DB200"
